c;est;là;que;3
de;l;autre;côté;3
de;temps;à;autre;11
il;n;y;avait;10
il;n;y;a;6
il;ne;faut;pas;3
il;y;eut;un;6
je;ne;sais;pas;3
juin;;;;4
l;un;d;eux;5
quant;à;moi;je;4
