adieu;mes;amours;;;2
c;est;à;ce;moment;2
de;l;autre;côté;de;2
de;temps;à;autre;une;4
de;temps;à;autre;le;3
il;fit;quelques;pas;et;2
il;n;y;avait;pas;3
il;n;y;avait;personne;2
il;parlait;;;;2
il;y;a;tout;juste;2
il;y;eut;un;silence;2
je;me;rappelle;seulement;que;2
juin;;;;;4
meaulnes;hésitait;s;il;allait;2
mes;souliers;sont;rouges;;2
peu;à;peu;entre;les;2
